respuesta_id,fecha,canal,region,segmento_cliente,nps_score,satisfaccion,tiempo_resolucion_dias,comentario
24,2024-01-02,App,Sur,VIP,8,4,2,Ni bueno ni malo.
25,2024-01-05,Call Center,Sur,Nuevo,4,3,4.1,Tuve que esperar demasiado tiempo.
26,2024-01-09,Call Center,Centro,VIP,4,3,2.6,No resolvieron mi problema.
27,2024-01-06,Web,Norte,VIP,7,3,2.5,Podría mejorar los tiempos de espera.
28,2024-01-07,Web,Norte,VIP,8,4,3.9,"El servicio estuvo bien, sin más."
29,2024-01-06,Web,Este,Recurrente,8,4,2.1,Podría mejorar los tiempos de espera.
30,2024-01-04,Sucursal,Este,VIP,6,3,2.3,El proceso fue confuso y lento.
31,2024-01-05,App,Norte,Nuevo,7,4,1.4,Ni bueno ni malo.
32,2024-01-09,Call Center,Oeste,Recurrente,3,2,5.9,Tuve que esperar demasiado tiempo.
33,2024-01-04,Web,Este,Recurrente,5,3,4.4,"Mala comunicación, muy frustrante."
34,2024-01-05,Call Center,Centro,Nuevo,4,3,3.7,El proceso fue confuso y lento.
35,2024-01-09,Web,Centro,VIP,7,4,3,"El servicio estuvo bien, sin más."
36,2024-01-09,Web,Centro,VIP,8,4,3.7,Podría mejorar los tiempos de espera.
37,2024-01-07,Call Center,Norte,Nuevo,5,3,2.8,El proceso fue confuso y lento.
38,2024-01-11,Call Center,Centro,Recurrente,5,3,6.3,No resolvieron mi problema.
39,2024-01-10,Sucursal,Sur,Recurrente,6,4,3.2,Tuve que esperar demasiado tiempo.
40,2024-01-06,Call Center,Oeste,VIP,6,3,3,"Mala comunicación, muy frustrante."
41,2024-01-07,Web,Sur,VIP,7,4,4.8,Cumplió lo básico.
42,2024-01-08,Sucursal,Este,Nuevo,7,4,2,Ni bueno ni malo.
43,2024-01-10,Sucursal,Sur,VIP,7,4,2.1,Podría mejorar los tiempos de espera.
44,2024-01-08,App,Sur,Recurrente,7,4,2.1,Ni bueno ni malo.
45,2024-01-12,Web,Sur,VIP,7,4,20,Cumplió lo básico.
46,2024-01-08,Call Center,Oeste,Recurrente,5,3,2.6,Tuve que esperar demasiado tiempo.
47,2024-01-11,Web,Oeste,Recurrente,6,4,1,No resolvieron mi problema.
48,2024-01-12,App,Centro,VIP,7,3,1.9,"El servicio estuvo bien, sin más."
49,2024-01-13,Call Center,Este,Nuevo,3,2,6.3,Tuve que esperar demasiado tiempo.
50,2024-01-08,Call Center,Centro,Recurrente,4,3,4,Tuve que esperar demasiado tiempo.
51,2024-01-08,Sucursal,Sur,Nuevo,6,4,4.1,El proceso fue confuso y lento.
52,2024-01-12,Web,Centro,Nuevo,8,4,2.7,"El servicio estuvo bien, sin más."
53,2024-01-09,Web,Centro,VIP,7,4,3.2,Cumplió lo básico.
54,2024-01-14,Sucursal,Oeste,Recurrente,6,3,2.6,"Pésima atención, no lo recomiendo."
55,2024-01-09,Sucursal,Este,Recurrente,6,3,1.9,"Pésima atención, no lo recomiendo."
56,2024-01-10,Call Center,Este,VIP,4,3,3.6,El proceso fue confuso y lento.
57,2024-01-10,Web,Norte,VIP,6,3,4.2,"Mala comunicación, muy frustrante."
58,2024-01-11,Call Center,Sur,VIP,4,2,2.8,"Mala comunicación, muy frustrante."
59,2024-01-09,App,Este,Nuevo,8,5,2.3,Podría mejorar los tiempos de espera.
60,2024-01-12,Call Center,Centro,Nuevo,3,2,5.7,Tuve que esperar demasiado tiempo.
61,2024-01-15,Sucursal,Centro,VIP,8,4,4,"El servicio estuvo bien, sin más."
62,2024-01-13,Call Center,Este,Nuevo,2,2,4.2,"Mala comunicación, muy frustrante."
63,2024-01-13,Call Center,Norte,VIP,3,3,2.9,No resolvieron mi problema.
64,2024-01-12,Call Center,Centro,Nuevo,5,4,6.4,"Pésima atención, no lo recomiendo."
65,2024-01-11,Call Center,Sur,Nuevo,4,2,3.9,"Mala comunicación, muy frustrante."
66,2024-01-12,Sucursal,Sur,Nuevo,7,3,2.8,Cumplió lo básico.
67,2024-01-15,Call Center,Sur,Nuevo,2,2,4.6,"Mala comunicación, muy frustrante."
68,2024-01-17,App,Este,VIP,7,3,4.3,Ni bueno ni malo.
69,2024-01-12,Call Center,Sur,Nuevo,3,3,5,"Mala comunicación, muy frustrante."
70,2024-01-15,Call Center,Oeste,Recurrente,4,2,3,El proceso fue confuso y lento.
71,2024-01-15,Sucursal,Sur,Nuevo,7,3,3.5,Cumplió lo básico.
72,2024-01-13,App,Centro,Nuevo,6,4,2.4,"Pésima atención, no lo recomiendo."
73,2024-01-17,App,Norte,Nuevo,7,3,3.2,"El servicio estuvo bien, sin más."
74,2024-01-16,Call Center,Centro,VIP,5,3,4.5,"Pésima atención, no lo recomiendo."
75,2024-01-13,Web,Centro,VIP,8,4,2.6,Podría mejorar los tiempos de espera.
76,2024-01-13,App,Centro,Nuevo,8,4,3.2,Podría mejorar los tiempos de espera.
77,2024-01-13,Sucursal,Este,Recurrente,8,5,1.6,Ni bueno ni malo.
78,2024-01-15,Sucursal,Centro,VIP,6,3,3,El proceso fue confuso y lento.
79,2024-01-14,Web,Norte,Nuevo,7,4,4.3,"El servicio estuvo bien, sin más."
80,2024-01-18,Call Center,Este,Nuevo,3,2,4.1,No resolvieron mi problema.
81,2024-01-14,Sucursal,Este,VIP,8,4,2.7,Ni bueno ni malo.
82,2024-01-19,Call Center,Sur,Nuevo,3,3,3.3,Tuve que esperar demasiado tiempo.
83,2024-01-20,Call Center,Norte,Nuevo,3,2,6.3,Tuve que esperar demasiado tiempo.
84,2024-01-20,Call Center,Centro,Recurrente,3,2,6.1,El proceso fue confuso y lento.
85,2024-01-20,Web,Sur,Recurrente,8,4,2.5,Cumplió lo básico.
86,2024-01-21,Call Center,Este,Recurrente,2,2,4.7,Tuve que esperar demasiado tiempo.
87,2024-01-18,App,Este,VIP,8,4,3.8,Ni bueno ni malo.
88,2024-01-20,Call Center,Centro,Recurrente,5,3,2.9,El proceso fue confuso y lento.
89,2024-01-15,App,Oeste,VIP,6,4,4.9,El proceso fue confuso y lento.
90,2024-01-20,Sucursal,Sur,Recurrente,7,4,3.3,Podría mejorar los tiempos de espera.
91,2024-01-20,Sucursal,Centro,Nuevo,6,4,1.6,El proceso fue confuso y lento.
92,2024-01-18,App,Este,Nuevo,5,4,26,Tuve que esperar demasiado tiempo.
93,2024-01-18,Call Center,Norte,VIP,3,2,4.5,Tuve que esperar demasiado tiempo.
94,2024-01-22,Call Center,Centro,Recurrente,5,3,6.3,"Mala comunicación, muy frustrante."
95,2024-01-18,Call Center,Norte,Nuevo,3,2,5,El proceso fue confuso y lento.
96,2024-01-20,Call Center,Este,Nuevo,4,3,5.7,El proceso fue confuso y lento.
97,2024-01-17,Sucursal,Centro,Nuevo,6,3,3.8,Tuve que esperar demasiado tiempo.
98,2024-01-23,Call Center,Norte,Recurrente,4,3,4.8,"Pésima atención, no lo recomiendo."
99,2024-01-21,App,Oeste,Nuevo,6,3,3.7,"Mala comunicación, muy frustrante."
100,2024-01-20,Call Center,Oeste,VIP,4,3,3.5,Tuve que esperar demasiado tiempo.
101,2024-01-19,Web,Sur,Nuevo,6,4,3.3,"Pésima atención, no lo recomiendo."
102,2024-01-22,Call Center,Norte,VIP,5,3,5.9,Tuve que esperar demasiado tiempo.
103,2024-01-23,Sucursal,Centro,Nuevo,5,3,2.5,Tuve que esperar demasiado tiempo.
104,2024-01-24,Sucursal,Sur,Nuevo,6,3,2.5,Tuve que esperar demasiado tiempo.
105,2024-01-20,Web,Este,VIP,9,4,1.4,"Excelente servicio, volvería a comprar."
106,2024-01-19,App,Este,Nuevo,8,4,4.3,Podría mejorar los tiempos de espera.
107,2024-01-22,Sucursal,Centro,VIP,7,4,4,Cumplió lo básico.
108,2024-01-19,Call Center,Oeste,Nuevo,3,2,3.2,El proceso fue confuso y lento.
109,2024-01-24,Call Center,Sur,Recurrente,2,2,3.7,No resolvieron mi problema.
110,2024-01-20,App,Oeste,VIP,7,4,2.7,Cumplió lo básico.
111,2024-01-26,Web,Este,VIP,8,4,4.1,Cumplió lo básico.
112,2024-01-26,Call Center,Oeste,VIP,5,3,5,Tuve que esperar demasiado tiempo.
113,2024-01-20,App,Oeste,Recurrente,8,4,1.7,"El servicio estuvo bien, sin más."
114,2024-01-24,App,Oeste,Recurrente,7,4,3.9,Ni bueno ni malo.
115,2024-01-21,App,Centro,VIP,7,4,3,Podría mejorar los tiempos de espera.
116,2024-01-23,Sucursal,Este,Nuevo,8,4,4,"El servicio estuvo bien, sin más."
117,2024-01-27,App,Centro,Nuevo,7,4,3.9,Ni bueno ni malo.
118,2024-01-21,Call Center,Sur,Recurrente,4,2,5.2,"Mala comunicación, muy frustrante."
119,2024-01-26,App,Oeste,Recurrente,7,4,4.5,"El servicio estuvo bien, sin más."
120,2024-01-26,Call Center,Centro,Nuevo,4,3,4.6,El proceso fue confuso y lento.
121,2024-01-26,Web,Oeste,Recurrente,7,4,4.7,Ni bueno ni malo.
122,2024-01-22,Call Center,Este,Recurrente,3,2,3.7,"Pésima atención, no lo recomiendo."
123,2024-01-23,Call Center,Este,Recurrente,4,3,6.1,"Pésima atención, no lo recomiendo."
124,2024-01-25,Call Center,Centro,Recurrente,2,2,6.4,Tuve que esperar demasiado tiempo.
125,2024-01-28,Sucursal,Norte,Recurrente,7,4,4.2,Cumplió lo básico.
126,2024-01-28,Call Center,Sur,VIP,5,3,4.8,Tuve que esperar demasiado tiempo.
127,2024-01-25,Web,Oeste,Recurrente,7,3,3.4,Ni bueno ni malo.
128,2024-01-29,Sucursal,Oeste,VIP,7,4,1.4,"El servicio estuvo bien, sin más."
129,2024-01-28,Sucursal,Sur,Recurrente,6,4,2.3,El proceso fue confuso y lento.
130,2024-01-24,App,Centro,Nuevo,7,4,3.2,Podría mejorar los tiempos de espera.
131,2024-01-24,Web,Oeste,Nuevo,8,4,4.9,Podría mejorar los tiempos de espera.
132,2024-01-24,Call Center,Centro,VIP,3,2,37,No resolvieron mi problema.
133,2024-01-26,Web,Oeste,Recurrente,7,4,3.7,"El servicio estuvo bien, sin más."
134,2024-01-27,Web,Centro,Nuevo,8,4,3.1,Ni bueno ni malo.
135,2024-01-29,App,Sur,VIP,9,4,4.5,Gran experiencia de principio a fin.
136,2024-01-31,Web,Oeste,Recurrente,6,3,36,El proceso fue confuso y lento.
137,2024-01-28,Call Center,Sur,Nuevo,3,2,4.7,No resolvieron mi problema.
138,2024-01-31,App,Oeste,VIP,7,4,3.2,Podría mejorar los tiempos de espera.
139,2024-01-29,Web,Oeste,Recurrente,7,3,2.2,Ni bueno ni malo.
140,2024-01-31,Call Center,Oeste,Nuevo,4,3,2.5,"Pésima atención, no lo recomiendo."
141,2024-01-30,Sucursal,Centro,Recurrente,8,4,4.8,Podría mejorar los tiempos de espera.
142,2024-01-29,App,Este,Recurrente,6,4,2.5,El proceso fue confuso y lento.
143,2024-01-29,Call Center,Norte,Recurrente,2,2,4.6,"Pésima atención, no lo recomiendo."
144,2024-01-27,Call Center,Este,VIP,4,3,5.2,El proceso fue confuso y lento.
145,2024-01-29,Call Center,Norte,Recurrente,3,2,2.6,"Pésima atención, no lo recomiendo."
146,2024-01-31,App,Sur,VIP,6,4,4.5,No resolvieron mi problema.
147,2024-01-28,Web,Norte,Nuevo,6,3,2.8,"Pésima atención, no lo recomiendo."
148,2024-01-28,Sucursal,Centro,VIP,8,5,5,"El servicio estuvo bien, sin más."
149,2024-02-03,Web,Centro,Nuevo,5,3,4.1,"Pésima atención, no lo recomiendo."
150,2024-02-01,Sucursal,Este,VIP,7,4,1.1,Ni bueno ni malo.
151,2024-01-31,Call Center,Centro,VIP,5,3,35,"Pésima atención, no lo recomiendo."
152,2024-02-03,Web,Oeste,VIP,7,4,2.3,"El servicio estuvo bien, sin más."
153,2024-02-02,Sucursal,Sur,Recurrente,6,3,1.5,Tuve que esperar demasiado tiempo.
154,2024-02-04,Sucursal,Este,Nuevo,5,3,3.7,"Mala comunicación, muy frustrante."
155,2024-02-01,Web,Oeste,Nuevo,7,4,1.7,Cumplió lo básico.
156,2024-02-03,Call Center,Sur,Recurrente,4,3,6.2,"Pésima atención, no lo recomiendo."
157,2024-01-30,Call Center,Sur,VIP,5,3,3.1,No resolvieron mi problema.
158,2024-02-02,Web,Centro,VIP,7,4,1.4,"El servicio estuvo bien, sin más."
159,2024-02-04,Web,Este,Nuevo,5,3,1.1,No resolvieron mi problema.
160,2024-02-02,App,Este,Nuevo,7,4,1.7,Cumplió lo básico.
161,2024-01-31,Sucursal,Centro,Recurrente,6,4,4.3,No resolvieron mi problema.
162,2024-01-31,App,Centro,Nuevo,8,4,1.8,Cumplió lo básico.
163,2024-02-03,Call Center,Centro,VIP,4,3,4.6,Tuve que esperar demasiado tiempo.
164,2024-02-05,App,Sur,Nuevo,6,4,1.4,"Mala comunicación, muy frustrante."
165,2024-02-06,Web,Norte,Nuevo,6,3,1.7,El proceso fue confuso y lento.
166,2024-02-02,App,Oeste,Nuevo,6,3,4.8,No resolvieron mi problema.
167,2024-02-01,App,Norte,Nuevo,6,4,3.8,"Mala comunicación, muy frustrante."
168,2024-02-05,App,Centro,VIP,8,4,3.8,"El servicio estuvo bien, sin más."
169,2024-02-03,App,Norte,Recurrente,8,4,1.7,Podría mejorar los tiempos de espera.
170,2024-02-02,Web,Centro,VIP,8,5,2.5,Podría mejorar los tiempos de espera.
171,2024-02-04,App,Centro,Recurrente,7,4,3.2,Cumplió lo básico.
172,2024-02-04,Call Center,Norte,Recurrente,4,3,6.4,El proceso fue confuso y lento.
173,2024-02-04,App,Oeste,Nuevo,6,3,4.4,"Pésima atención, no lo recomiendo."
174,2024-02-06,App,Centro,Nuevo,6,4,2.9,No resolvieron mi problema.
175,2024-02-04,Web,Sur,Nuevo,8,4,1.3,"El servicio estuvo bien, sin más."
176,2024-02-07,Call Center,Centro,Recurrente,2,2,6.1,"Pésima atención, no lo recomiendo."
177,2024-02-03,Call Center,Centro,VIP,4,3,3.3,"Mala comunicación, muy frustrante."
178,2024-02-07,App,Oeste,VIP,8,5,1.9,"El servicio estuvo bien, sin más."
179,2024-02-09,Sucursal,Este,Recurrente,7,4,2,Ni bueno ni malo.
180,2024-02-08,Sucursal,Sur,Recurrente,6,4,2.9,El proceso fue confuso y lento.
181,2024-02-06,Web,Centro,VIP,6,4,1.8,El proceso fue confuso y lento.
182,2024-02-07,Call Center,Norte,Recurrente,5,3,5.1,"Pésima atención, no lo recomiendo."
183,2024-02-03,Sucursal,Norte,Recurrente,6,4,1.3,El proceso fue confuso y lento.
184,2024-02-06,Web,Este,VIP,7,4,4,"El servicio estuvo bien, sin más."
185,2024-02-08,Call Center,Este,VIP,4,3,6,"Mala comunicación, muy frustrante."
186,2024-02-04,App,Norte,VIP,8,4,4,"El servicio estuvo bien, sin más."
187,2024-02-04,App,Oeste,Nuevo,7,3,3.4,Cumplió lo básico.
188,2024-02-08,App,Este,VIP,9,5,3.7,"Muy buena atención, resolvieron rápido."
189,2024-02-07,Sucursal,Oeste,Recurrente,6,4,1.9,Tuve que esperar demasiado tiempo.
190,2024-02-06,App,Oeste,VIP,6,3,3,Tuve que esperar demasiado tiempo.
191,2024-02-09,Sucursal,Oeste,Recurrente,6,3,4.1,El proceso fue confuso y lento.
192,2024-02-09,Web,Centro,VIP,7,4,2.1,Podría mejorar los tiempos de espera.
193,2024-02-10,Call Center,Oeste,Recurrente,3,3,3.4,No resolvieron mi problema.
194,2024-02-06,Call Center,Norte,Recurrente,3,3,6.3,El proceso fue confuso y lento.
195,2024-02-11,Call Center,Este,Recurrente,5,3,5,El proceso fue confuso y lento.
196,2024-02-08,Sucursal,Norte,Nuevo,6,4,3.1,"Mala comunicación, muy frustrante."
197,2024-02-11,Sucursal,Sur,Recurrente,7,4,4.7,"El servicio estuvo bien, sin más."
198,2024-02-09,Web,Norte,VIP,9,5,1.1,"Muy buena atención, resolvieron rápido."
199,2024-02-12,App,Centro,Nuevo,5,4,1.5,"Mala comunicación, muy frustrante."
200,2024-02-11,Sucursal,Centro,Nuevo,8,5,2.8,Ni bueno ni malo.
201,2024-02-10,Web,Este,Nuevo,7,3,2,Ni bueno ni malo.
202,2024-02-11,Web,Oeste,VIP,7,4,4.2,"El servicio estuvo bien, sin más."
203,2024-02-09,Call Center,Norte,Recurrente,5,3,3.7,"Pésima atención, no lo recomiendo."
204,2024-02-12,Sucursal,Este,Nuevo,5,3,1.2,No resolvieron mi problema.
205,2024-02-14,App,Este,Nuevo,6,3,2.1,"Pésima atención, no lo recomiendo."
206,2024-02-11,Call Center,Norte,Recurrente,4,2,3.4,El proceso fue confuso y lento.
207,2024-02-11,Call Center,Oeste,VIP,4,2,3.1,"Pésima atención, no lo recomiendo."
208,2024-02-10,Web,Oeste,Recurrente,8,5,2.2,Podría mejorar los tiempos de espera.
209,2024-02-09,App,Norte,Nuevo,7,4,4.8,Podría mejorar los tiempos de espera.
210,2024-02-15,Web,Norte,Recurrente,6,3,2.3,"Pésima atención, no lo recomiendo."
211,2024-02-12,Sucursal,Sur,Recurrente,7,4,3.6,Ni bueno ni malo.
212,2024-02-13,Web,Este,Recurrente,7,4,1.9,Podría mejorar los tiempos de espera.
213,2024-02-15,Call Center,Sur,Recurrente,4,2,3.7,No resolvieron mi problema.
214,2024-02-10,Web,Centro,Recurrente,8,4,1.3,Podría mejorar los tiempos de espera.
215,2024-02-16,Web,Sur,VIP,7,4,4.3,Podría mejorar los tiempos de espera.
216,2024-02-14,Call Center,Norte,Recurrente,5,3,5.8,El proceso fue confuso y lento.
217,2024-02-11,Web,Sur,VIP,7,4,34,Podría mejorar los tiempos de espera.
218,2024-02-16,Web,Sur,VIP,8,4,4.5,"El servicio estuvo bien, sin más."
219,2024-02-11,Web,Centro,VIP,8,4,4.9,"El servicio estuvo bien, sin más."
220,2024-02-14,Web,Centro,VIP,9,4,3.2,"Excelente servicio, volvería a comprar."
221,2024-02-11,Call Center,Oeste,Recurrente,3,3,5.9,"Mala comunicación, muy frustrante."
222,2024-02-11,Web,Este,VIP,9,5,1.5,"Muy buena atención, resolvieron rápido."
223,2024-02-17,Sucursal,Este,Nuevo,6,3,3.5,"Mala comunicación, muy frustrante."
224,2024-02-16,Web,Norte,Recurrente,8,4,3.5,Podría mejorar los tiempos de espera.
225,2024-02-15,Web,Sur,Recurrente,7,4,2.4,Ni bueno ni malo.
226,2024-02-12,Call Center,Este,Nuevo,4,2,2.7,El proceso fue confuso y lento.
227,2024-02-13,Sucursal,Centro,Nuevo,7,4,4.9,Ni bueno ni malo.
228,2024-02-15,Sucursal,Centro,VIP,8,4,2.5,Cumplió lo básico.
229,2024-02-18,Web,Este,Recurrente,7,4,3,Cumplió lo básico.
230,2024-02-17,App,Norte,Nuevo,6,4,3.5,"Pésima atención, no lo recomiendo."
231,2024-02-14,App,Centro,Recurrente,7,3,4.9,"El servicio estuvo bien, sin más."
232,2024-02-18,Call Center,Sur,Recurrente,5,3,5.7,"Mala comunicación, muy frustrante."
233,2024-02-18,Sucursal,Sur,VIP,7,3,2.4,Podría mejorar los tiempos de espera.
234,2024-02-20,App,Sur,Nuevo,6,4,4.5,"Pésima atención, no lo recomiendo."
235,2024-02-20,Call Center,Oeste,VIP,3,2,5,"Mala comunicación, muy frustrante."
236,2024-02-20,Sucursal,Sur,Nuevo,8,5,4.5,"El servicio estuvo bien, sin más."
237,2024-02-15,Call Center,Centro,VIP,5,3,5.9,Tuve que esperar demasiado tiempo.
238,2024-02-21,Call Center,Sur,Recurrente,3,2,5.7,No resolvieron mi problema.
239,2024-02-17,Call Center,Norte,Recurrente,3,3,6.4,"Mala comunicación, muy frustrante."
240,2024-02-20,Web,Norte,Recurrente,7,4,3.5,Ni bueno ni malo.
241,2024-02-18,Call Center,Norte,Recurrente,5,3,2.5,"Pésima atención, no lo recomiendo."
242,2024-02-19,App,Centro,Recurrente,7,3,2.5,Ni bueno ni malo.
243,2024-02-19,Sucursal,Norte,Nuevo,6,4,4.9,Tuve que esperar demasiado tiempo.
244,2024-02-17,App,Oeste,Recurrente,8,4,1.2,Ni bueno ni malo.
245,2024-02-18,App,Centro,VIP,8,4,4.4,Cumplió lo básico.
246,2024-02-22,App,Sur,Recurrente,8,4,3.5,Ni bueno ni malo.
247,2024-02-17,Web,Oeste,Recurrente,8,4,3.6,Cumplió lo básico.
248,2024-02-19,Web,Oeste,Nuevo,8,4,1.5,Cumplió lo básico.
249,2024-02-23,Call Center,Este,VIP,6,3,3.9,"Mala comunicación, muy frustrante."
250,2024-02-23,Web,Norte,VIP,8,5,3.2,"El servicio estuvo bien, sin más."
251,2024-02-20,App,Norte,Nuevo,5,3,4.9,"Mala comunicación, muy frustrante."
252,2024-02-18,Sucursal,Este,Recurrente,7,3,4.5,Ni bueno ni malo.
253,2024-02-18,Sucursal,Oeste,Recurrente,5,3,3.1,No resolvieron mi problema.
254,2024-02-21,App,Centro,VIP,7,4,1.5,Cumplió lo básico.
255,2024-02-22,Web,Norte,VIP,9,4,4.9,"Muy buena atención, resolvieron rápido."
256,2024-02-22,Call Center,Centro,Nuevo,5,3,3.7,"Pésima atención, no lo recomiendo."
257,2024-02-18,App,Este,VIP,9,4,2.4,Todo funcionó como esperaba.
258,2024-02-24,App,Norte,VIP,7,4,2.5,"El servicio estuvo bien, sin más."
259,2024-02-21,App,Centro,VIP,8,5,3.6,Cumplió lo básico.
260,2024-02-24,Call Center,Norte,VIP,5,3,4,"Mala comunicación, muy frustrante."
261,2024-02-22,Sucursal,Norte,VIP,7,4,4.4,Podría mejorar los tiempos de espera.
262,2024-02-24,Web,Norte,Nuevo,6,3,2.2,El proceso fue confuso y lento.
263,2024-02-25,Sucursal,Sur,VIP,8,5,4.9,Cumplió lo básico.
264,2024-02-24,App,Centro,Nuevo,7,4,1.5,Podría mejorar los tiempos de espera.
265,2024-02-25,App,Sur,Recurrente,6,3,1.1,El proceso fue confuso y lento.
266,2024-02-22,App,Oeste,Nuevo,7,4,4.5,"El servicio estuvo bien, sin más."
267,2024-02-25,App,Sur,Recurrente,7,4,4.9,"El servicio estuvo bien, sin más."
268,2024-02-21,App,Sur,Nuevo,8,4,3.2,"El servicio estuvo bien, sin más."
269,2024-02-25,Web,Norte,VIP,6,3,25,El proceso fue confuso y lento.
270,2024-02-24,Call Center,Norte,VIP,5,3,4.2,"Mala comunicación, muy frustrante."
271,2024-02-26,Call Center,Este,Nuevo,3,2,3.8,No resolvieron mi problema.
272,2024-02-23,App,Oeste,VIP,7,4,4.8,"El servicio estuvo bien, sin más."
273,2024-02-24,Sucursal,Norte,Recurrente,7,4,3.2,Ni bueno ni malo.
274,2024-02-22,Call Center,Este,Recurrente,4,2,4,"Pésima atención, no lo recomiendo."
275,2024-02-28,App,Sur,Recurrente,7,4,3.8,"El servicio estuvo bien, sin más."
276,2024-02-27,App,Norte,Recurrente,8,4,4,Cumplió lo básico.
277,2024-02-24,Call Center,Oeste,Recurrente,4,3,5.5,No resolvieron mi problema.
278,2024-02-26,Sucursal,Este,Nuevo,8,4,1.1,Podría mejorar los tiempos de espera.
279,2024-02-27,App,Centro,Recurrente,6,4,4,"Mala comunicación, muy frustrante."
280,2024-02-23,Sucursal,Norte,VIP,9,5,1.8,"Excelente servicio, volvería a comprar."
281,2024-02-29,Call Center,Norte,Nuevo,3,2,5.1,El proceso fue confuso y lento.
282,2024-02-27,Call Center,Sur,Nuevo,5,3,3.7,El proceso fue confuso y lento.
283,2024-02-24,Web,Norte,VIP,9,5,2.8,Todo funcionó como esperaba.
284,2024-03-01,Call Center,Oeste,VIP,6,4,3.8,"Pésima atención, no lo recomiendo."
285,2024-02-25,App,Norte,Recurrente,7,4,1.8,Ni bueno ni malo.
286,2024-02-25,Call Center,Oeste,Nuevo,5,3,3.6,Tuve que esperar demasiado tiempo.
287,2024-02-26,App,Centro,Nuevo,5,4,4.4,"Mala comunicación, muy frustrante."
288,2024-02-27,Sucursal,Centro,Recurrente,7,4,1.5,"El servicio estuvo bien, sin más."
289,2024-02-25,Sucursal,Oeste,VIP,8,4,2.6,Cumplió lo básico.
290,2024-02-28,App,Centro,Recurrente,6,3,4.6,Tuve que esperar demasiado tiempo.
291,2024-03-02,Sucursal,Este,Nuevo,8,5,4.5,Podría mejorar los tiempos de espera.
292,2024-03-01,Web,Centro,VIP,8,4,3.4,"El servicio estuvo bien, sin más."
293,2024-03-02,App,Norte,Recurrente,6,4,2.1,"Mala comunicación, muy frustrante."
294,2024-02-29,Sucursal,Oeste,VIP,7,4,1.8,Podría mejorar los tiempos de espera.
295,2024-02-28,Web,Oeste,VIP,7,4,3.4,"El servicio estuvo bien, sin más."
296,2024-02-29,Web,Este,VIP,8,4,3.9,Ni bueno ni malo.
297,2024-03-04,Call Center,Norte,VIP,5,3,5.8,"Mala comunicación, muy frustrante."
298,2024-02-28,Sucursal,Norte,Recurrente,5,3,1.7,No resolvieron mi problema.
299,2024-03-01,Sucursal,Este,VIP,8,5,4.9,Podría mejorar los tiempos de espera.
300,2024-03-04,Call Center,Oeste,Recurrente,3,3,4.6,"Pésima atención, no lo recomiendo."
301,2024-03-04,Web,Centro,VIP,8,4,1.2,"El servicio estuvo bien, sin más."
302,2024-03-03,App,Sur,Nuevo,7,3,4.2,Cumplió lo básico.
303,2024-02-29,Sucursal,Norte,VIP,7,4,1.1,Cumplió lo básico.
304,2024-02-29,App,Oeste,VIP,8,4,5,Ni bueno ni malo.
305,2024-03-02,Web,Sur,VIP,7,4,4.7,Cumplió lo básico.
306,2024-03-03,Sucursal,Norte,Nuevo,7,4,20,Ni bueno ni malo.
