fecha,categoria,region,canal,unidades,ingresos,costo,margen
2023-01-26,Alimentos,Sur,Tienda física,8,149.21,97.35,51.86
2023-01-26,Electrónica,Norte,Marketplace,38,13374.44,7510.02,5864.42
2023-01-27,Deportes,Norte,Marketplace,5,395.72,286.4,109.32
2023-01-27,Electrónica,Sur,Distribuidor,25,6906.56,4061.6,2844.96
2023-01-28,Alimentos,Centro,Distribuidor,10,203.1,112.95,90.15
2023-01-28,Juguetes,Norte,Distribuidor,41,1486.6,963.81,522.79
2023-01-29,Juguetes,Este,Tienda física,38,1502.81,1112.61,390.2
2023-01-30,Hogar,Oeste,E-commerce,32,2510.6,1412.64,1097.96
2023-01-30,Juguetes,Norte,E-commerce,14,501.26,283.54,217.72
2023-01-30,Electrónica,Oeste,Marketplace,9,3230.25,1898.56,1331.69
2023-01-31,Hogar,Sur,Tienda física,41,3261.33,1823.6,1437.73
2023-01-31,Hogar,Este,Distribuidor,16,1260.09,775.72,484.37
2023-01-31,Alimentos,Este,E-commerce,42,6189.28,555.5,5633.78
2023-01-31,Moda,Sur,Marketplace,33,2191.97,1545.1,646.87
2023-01-31,Alimentos,Sur,E-commerce,13,223.53,148.66,74.87
2023-02-01,Deportes,Norte,Distribuidor,23,1589.5,981.96,607.54
2023-02-01,Alimentos,Norte,Tienda física,37,615.25,351.02,264.23
2023-02-02,Electrónica,Norte,E-commerce,28,8756.72,5368.26,3388.46
2023-02-02,Electrónica,Sur,Tienda física,11,3073.45,2035.92,1037.53
2023-02-03,Electrónica,Este,Marketplace,10,3441.88,2045.87,1396.01
2023-02-04,Deportes,Norte,Distribuidor,6,435.98,306.73,129.25
2023-02-04,Electrónica,Sur,Tienda física,18,5269.44,3156.2,2113.24
2023-02-04,Electrónica,Norte,Marketplace,14,4486.49,3046.71,1439.78
2023-02-04,Moda,Norte,Distribuidor,41,2147.27,1365.03,782.24
2023-02-05,Juguetes,Norte,Marketplace,44,1378.5,843.23,535.27
2023-02-05,Moda,Este,E-commerce,45,2775.61,2021.96,753.65
2023-02-05,Moda,Este,Marketplace,15,970.64,535.89,434.75
2023-02-06,Electrónica,Norte,Distribuidor,51,16580.54,11321.95,5258.59
2023-02-06,Hogar,Sur,Marketplace,22,1689.77,1006.12,683.65
2023-02-06,Electrónica,Norte,Marketplace,32,8720.7,6134.43,2586.27
2023-02-06,Electrónica,Oeste,Distribuidor,43,14647,8823.65,5823.35
2023-02-07,Deportes,Centro,Distribuidor,36,2388.71,1446.3,942.41
2023-02-07,Electrónica,Norte,Tienda física,31,10996.27,6992.43,4003.84
2023-02-07,Moda,Sur,Tienda física,22,1280.61,846.55,434.06
2023-02-08,Moda,Centro,E-commerce,9,579.4,416.73,162.67
2023-02-08,Electrónica,Norte,Tienda física,19,5282.34,3199.12,2083.22
2023-02-08,Electrónica,Norte,Distribuidor,35,10068.38,5945.3,4123.08
2023-02-08,Alimentos,Norte,Distribuidor,48,924,648.73,275.27
2023-02-08,Hogar,Norte,Marketplace,22,2156.52,1486.6,669.92
2023-02-09,Moda,Centro,Marketplace,18,1043.8,667.15,376.65
2023-02-09,Electrónica,Norte,Marketplace,43,12518.49,7871.89,4646.6
2023-02-10,Juguetes,Norte,E-commerce,38,1339.27,921.43,417.84
2023-02-11,Electrónica,Centro,Distribuidor,14,4166.18,3093.73,1072.45
2023-02-11,Hogar,Norte,Marketplace,11,1070.48,590.48,480
2023-02-12,Electrónica,Este,Distribuidor,41,14756.88,10335.53,4421.35
2023-02-13,Electrónica,Oeste,E-commerce,15,4124.64,2726.45,1398.19
2023-02-13,Alimentos,Sur,Tienda física,49,828.94,530.15,298.79
2023-02-14,Electrónica,Sur,Tienda física,20,6512.17,3720.97,2791.2
2023-02-14,Alimentos,Centro,Tienda física,22,406.64,276.26,130.38
2023-02-14,Electrónica,Este,Tienda física,42,14035.66,9880.56,4155.1
2023-02-16,Electrónica,Norte,E-commerce,21,7188.73,4312.72,2876.01
2023-02-17,Electrónica,Centro,Tienda física,42,14812.24,8718.84,6093.4
2023-02-17,Juguetes,Este,Marketplace,23,819.36,581,238.36
2023-02-17,Hogar,Sur,E-commerce,26,2091.76,1431.06,660.7
2023-02-18,Electrónica,Norte,E-commerce,18,5962.21,3395.33,2566.88
2023-02-18,Electrónica,Sur,Distribuidor,48,16854.42,9664.88,7189.54
2023-02-18,Hogar,Centro,E-commerce,13,1094.69,617.64,477.05
2023-02-19,Electrónica,Norte,Marketplace,50,17580.51,10679.29,6901.22
2023-02-20,Electrónica,Sur,Marketplace,35,11706.95,6520.26,5186.69
2023-02-20,Electrónica,Norte,Distribuidor,14,3842.07,2117.52,1724.55
2023-02-20,Moda,Sur,E-commerce,35,2143.91,1576.46,567.45
2023-02-21,Electrónica,Norte,Distribuidor,36,10146.62,6782.98,3363.64
2023-02-21,Electrónica,Norte,E-commerce,16,4585.88,2937.57,1648.31
2023-02-22,Deportes,Norte,Marketplace,26,1711.35,1047.89,663.46
2023-02-23,Hogar,Oeste,Tienda física,37,3630.77,2707.8,922.97
2023-02-23,Electrónica,Este,E-commerce,27,7954.56,4530.27,3424.29
2023-02-23,Alimentos,Norte,Distribuidor,49,805.14,598.02,207.12
2023-02-23,Moda,Norte,Tienda física,32,2204.35,1319.43,884.92
2023-02-23,Juguetes,Norte,Tienda física,8,273.63,176.83,96.8
2023-02-23,Moda,Este,Tienda física,34,1900.47,1089.66,810.81
2023-02-24,Juguetes,Oeste,E-commerce,11,329.72,231.9,97.82
2023-02-24,Moda,Norte,Tienda física,20,1377.28,768.29,608.99
2023-02-24,Electrónica,Oeste,Distribuidor,25,7782.45,5228.01,2554.44
2023-02-24,Electrónica,Este,E-commerce,45,14140.74,9258.61,4882.13
2023-02-25,Hogar,Sur,E-commerce,33,2864.47,1626.02,1238.45
2023-02-25,Deportes,Norte,Distribuidor,14,1019.55,681.21,338.34
2023-02-25,Deportes,Sur,Marketplace,7,543.89,334.92,208.97
2023-02-26,Hogar,Norte,Tienda física,7,712.1,498.96,213.14
2023-02-26,Electrónica,Norte,Tienda física,35,12559.09,9157.21,3401.88
2023-02-27,Electrónica,Norte,Marketplace,6,1820,1348.39,471.61
2023-02-27,Alimentos,Este,Tienda física,6,122.03,71.78,50.25
2023-02-27,Deportes,Sur,Marketplace,23,1663.4,1136.39,527.01
2023-02-28,Moda,Norte,E-commerce,49,2788.38,2014.73,773.65
2023-02-28,Juguetes,Centro,Tienda física,40,1415.65,887.81,527.84
2023-03-01,Electrónica,Este,Tienda física,20,6508.07,3854.78,2653.29
2023-03-01,Electrónica,Norte,E-commerce,43,14719.73,8478.65,6241.08
2023-03-03,Deportes,Sur,Marketplace,38,2632.34,1931.85,700.49
2023-03-03,Deportes,Este,Tienda física,26,2005.13,1209.17,795.96
2023-03-04,Alimentos,Este,Tienda física,27,459.87,341.52,118.35
2023-03-04,Electrónica,Este,Distribuidor,55,17899.13,12137.05,5762.08
2023-03-05,Moda,Centro,Tienda física,28,1545.36,880.47,664.89
2023-03-05,Alimentos,Norte,Distribuidor,29,459,331.49,127.51
2023-03-05,Deportes,Este,Marketplace,20,1625.76,1216.57,409.19
2023-03-05,Juguetes,Oeste,E-commerce,12,372.43,278.86,93.57
2023-03-05,Deportes,Sur,Marketplace,15,976.08,661.22,314.86
2023-03-05,Electrónica,Centro,Distribuidor,33,11813.69,7537.45,4276.24
2023-03-05,Juguetes,Centro,Distribuidor,17,514.1,307.31,206.79
2023-03-06,Electrónica,Este,Tienda física,16,5754.32,4039.05,1715.27
2023-03-06,Electrónica,Centro,Tienda física,40,10924.99,6396.61,4528.38
2023-03-06,Juguetes,Norte,Distribuidor,55,2207.02,1568.45,638.57
2023-03-06,Deportes,Norte,Distribuidor,32,2483.63,1407.42,1076.21
2023-03-07,Juguetes,Oeste,Tienda física,39,1460.06,1042.71,417.35
2023-03-07,Electrónica,Este,Tienda física,46,14133.53,9136.1,4997.43
2023-03-07,Alimentos,Norte,E-commerce,9,139.66,90.02,49.64
2023-03-07,Alimentos,Centro,Tienda física,38,677.98,497.24,180.74
2023-03-07,Deportes,Centro,E-commerce,11,758.67,563.72,194.95
2023-03-08,Alimentos,Norte,Distribuidor,36,561.94,318.18,243.76
2023-03-08,Hogar,Oeste,Tienda física,11,927.58,691.65,235.93
2023-03-09,Electrónica,Norte,E-commerce,56,17993.95,12257.08,5736.87
2023-03-09,Electrónica,Norte,Tienda física,46,13986.65,8046.6,5940.05
2023-03-09,Electrónica,Centro,Distribuidor,19,5409.45,3422.72,1986.73
2023-03-10,Electrónica,Sur,E-commerce,7,2110.1,1493.57,616.53
2023-03-10,Electrónica,Centro,Distribuidor,54,16157.2,9572.57,6584.63
2023-03-10,Alimentos,Oeste,Tienda física,20,412.55,271.14,141.41
2023-03-12,Electrónica,Norte,Tienda física,29,9231.44,5959.98,3271.46
2023-03-12,Electrónica,Oeste,E-commerce,33,11646.37,6860.15,4786.22
2023-03-12,Alimentos,Sur,Marketplace,16,328.98,209.01,119.97
2023-03-12,Alimentos,Este,Tienda física,45,930.87,528.67,402.2
2023-03-12,Electrónica,Este,Marketplace,13,4145.14,3068.2,1076.94
2023-03-12,Alimentos,Norte,E-commerce,45,699.77,448.01,251.76
2023-03-12,Electrónica,Centro,Tienda física,47,13228.12,9176.88,4051.24
2023-03-13,Electrónica,Centro,Tienda física,41,14801.83,11003.86,3797.97
2023-03-13,Electrónica,Centro,Distribuidor,42,12662.08,7516.15,5145.93
2023-03-13,Deportes,Centro,E-commerce,35,2494.47,1390.46,1104.01
2023-03-13,Electrónica,Centro,Tienda física,23,6712.05,4085.81,2626.24
2023-03-13,Deportes,Norte,Marketplace,26,2008.39,1159.55,848.84
2023-03-13,Alimentos,Oeste,E-commerce,24,473.07,341.75,131.32
2023-03-14,Electrónica,Oeste,E-commerce,57,20423.15,13285.34,7137.81
2023-03-14,Juguetes,Norte,Distribuidor,56,2197.51,1469.2,728.31
2023-03-14,Hogar,Norte,Marketplace,26,2248.13,1480.81,767.32
2023-03-15,Electrónica,Norte,Tienda física,16,4811.81,3118.89,1692.92
2023-03-15,Hogar,Centro,Tienda física,40,3181.83,2007.5,1174.33
2023-03-15,Alimentos,Sur,Distribuidor,53,1046.11,590.42,455.69
2023-03-15,Alimentos,Norte,E-commerce,44,778.03,572.12,205.91
2023-03-16,Electrónica,Norte,Tienda física,35,12303.64,8616.78,3686.86
2023-03-17,Electrónica,Norte,E-commerce,8,2353.05,1505.51,847.54
2023-03-18,Electrónica,Sur,E-commerce,11,26596.88,2320.08,24276.8
2023-03-18,Electrónica,Norte,Marketplace,26,7705.47,5388.82,2316.65
2023-03-19,Electrónica,Norte,Distribuidor,38,11977.13,7701.79,4275.34
2023-03-19,Deportes,Sur,Tienda física,40,2969.14,2123.96,845.18
2023-03-19,Juguetes,Centro,Tienda física,24,734.62,465.71,268.91
2023-03-19,Juguetes,Centro,E-commerce,49,1655.42,1151.59,503.83
2023-03-20,Moda,Este,Marketplace,39,2119.67,1365.06,754.61
2023-03-21,Electrónica,Centro,E-commerce,7,2534.44,1880.12,654.32
2023-03-22,Juguetes,Norte,Tienda física,39,1502.89,1037.55,465.34
2023-03-23,Hogar,Oeste,Tienda física,46,4196.48,2860.35,1336.13
2023-03-23,Deportes,Norte,Tienda física,10,800.91,485.01,315.9
2023-03-23,Electrónica,Este,E-commerce,20,5914.82,3705.93,2208.89
2023-03-24,Hogar,Oeste,Distribuidor,12,1149.25,810.49,338.76
2023-03-24,Electrónica,Norte,Tienda física,11,3301.77,2233.48,1068.29
2023-03-24,Deportes,Centro,E-commerce,22,1551.47,965.82,585.65
2023-03-25,Deportes,Este,E-commerce,8,589.2,413.97,175.23
2023-03-26,Alimentos,Norte,Distribuidor,48,815.21,597.73,217.48
2023-03-26,Alimentos,Sur,E-commerce,40,738.34,480.94,257.4
2023-03-26,Electrónica,Centro,E-commerce,7,2334.72,1589.82,744.9
2023-03-26,Electrónica,Norte,Marketplace,25,8037.44,5706.94,2330.5
2023-03-26,Electrónica,Sur,Marketplace,13,4459.85,2787.81,1672.04
2023-03-27,Electrónica,Este,Marketplace,14,4951.45,3077.46,1873.99
2023-03-27,Electrónica,Sur,E-commerce,32,11286.87,6884.51,4402.36
2023-03-27,Moda,Este,Distribuidor,29,1823.67,1203.85,619.82
2023-03-29,Electrónica,Este,Distribuidor,42,14009.78,7939.63,6070.15
2023-03-29,Hogar,Oeste,Marketplace,44,4010.91,2412.37,1598.54
2023-03-30,Moda,Centro,Marketplace,48,2736.04,1517.46,1218.58
2023-03-30,Moda,Oeste,E-commerce,9,618.5,423.97,194.53
2023-03-30,Electrónica,Este,Tienda física,51,16623.61,10734.13,5889.48
2023-03-31,Electrónica,Centro,E-commerce,18,6204.59,4282.87,1921.72
2023-03-31,Electrónica,Centro,Marketplace,14,4745.26,2980.91,1764.35
2023-04-01,Moda,Norte,Distribuidor,18,1196.63,811.49,385.14
2023-04-01,Electrónica,Norte,Marketplace,13,4088.93,2307.01,1781.92
2023-04-03,Electrónica,Norte,Distribuidor,57,18153.98,11822.03,6331.95
2023-04-03,Hogar,Este,Marketplace,31,3023.93,1802.73,1221.2
2023-04-03,Moda,Oeste,Marketplace,13,710.73,438.01,272.72
2023-04-04,Juguetes,Sur,Marketplace,59,1834.37,1065.44,768.93
2023-04-04,Electrónica,Norte,Distribuidor,19,6667.1,4294.54,2372.56
2023-04-04,Moda,Sur,Marketplace,36,2028.18,1397.27,630.91
2023-04-04,Electrónica,Este,Marketplace,40,12868.77,7825.36,5043.41
2023-04-05,Moda,Oeste,Marketplace,34,2149.9,1598.69,551.21
2023-04-05,Juguetes,Norte,Distribuidor,49,1765.61,1176.17,589.44
2023-04-06,Juguetes,Centro,E-commerce,44,10705.44,913.68,9791.76
2023-04-06,Electrónica,Norte,E-commerce,30,9642.98,6269.24,3373.74
2023-04-06,Moda,Centro,Marketplace,14,789.99,577.42,212.57
2023-04-06,Electrónica,Norte,Marketplace,27,8896.06,5832.18,3063.88
2023-04-06,Electrónica,Norte,E-commerce,50,14421.52,8170.01,6251.51
2023-04-07,Electrónica,Este,Distribuidor,18,6608.2,3855.83,2752.37
2023-04-08,Electrónica,Este,E-commerce,57,15589.05,11011.81,4577.24
2023-04-08,Electrónica,Norte,Tienda física,53,17777.94,13107.25,4670.69
2023-04-08,Electrónica,Norte,Tienda física,52,14599.31,9597.12,5002.19
2023-04-09,Moda,Oeste,Tienda física,30,1622.95,961.74,661.21
2023-04-09,Electrónica,Norte,Tienda física,44,12820.31,9506.51,3313.8
2023-04-10,Hogar,Oeste,Marketplace,59,5463.44,3663.12,1800.32
2023-04-10,Electrónica,Este,E-commerce,49,14535.72,8511.2,6024.52
2023-04-11,Moda,Centro,E-commerce,28,1810.41,1132.22,678.19
2023-04-11,Juguetes,Este,Marketplace,51,2051.22,1381.57,669.65
2023-04-11,Hogar,Centro,Marketplace,11,875.18,492.94,382.24
2023-04-11,Hogar,Norte,E-commerce,9,863.01,592.6,270.41
2023-04-11,Juguetes,Centro,Marketplace,23,899.73,520.94,378.79
2023-04-11,Hogar,Norte,Marketplace,27,2711.7,1926.09,785.61
2023-04-12,Electrónica,Norte,Distribuidor,30,8955.2,5485.58,3469.62
2023-04-14,Electrónica,Centro,Distribuidor,32,10808.99,6891.15,3917.84
2023-04-14,Electrónica,Norte,E-commerce,8,2466.49,1488.93,977.56
2023-04-14,Hogar,Sur,E-commerce,49,4766.25,2830.46,1935.79
2023-04-14,Deportes,Oeste,E-commerce,51,3506.44,2360.04,1146.4
2023-04-16,Electrónica,Oeste,E-commerce,40,12245.51,8381.12,3864.39
2023-04-16,Deportes,Norte,Marketplace,15,1082.08,775.22,306.86
2023-04-17,Electrónica,Norte,E-commerce,27,7454.59,4163.87,3290.72
2023-04-18,Juguetes,Sur,E-commerce,32,1200.07,716.29,483.78
2023-04-19,Juguetes,Norte,Tienda física,54,1654.16,1225.08,429.08
2023-04-21,Moda,Norte,Marketplace,9,555.8,368.69,187.11
2023-04-21,Electrónica,Centro,Distribuidor,34,11973.2,8684.15,3289.05
2023-04-21,Hogar,Este,E-commerce,26,2534.98,1436.43,1098.55
2023-04-22,Alimentos,Este,Marketplace,32,518.49,297.88,220.61
2023-04-22,Electrónica,Este,E-commerce,8,2398,1722.45,675.55
2023-04-23,Electrónica,Sur,Distribuidor,17,5218.18,3429.44,1788.74
2023-04-23,Electrónica,Centro,Tienda física,38,10730.14,6134.33,4595.81
2023-04-24,Deportes,Centro,Marketplace,22,1810.05,1352.76,457.29
2023-04-24,Alimentos,Norte,Distribuidor,48,860.19,623.74,236.45
2023-04-24,Alimentos,Centro,Distribuidor,33,624.65,403.14,221.51
2023-04-24,Alimentos,Sur,Tienda física,12,229.04,134.89,94.15
2023-04-25,Alimentos,Centro,Tienda física,43,731.52,413.52,318
2023-04-25,Electrónica,Centro,Marketplace,44,12236.53,7932.84,4303.69
2023-04-26,Alimentos,Centro,Tienda física,54,988,720.21,267.79
2023-04-26,Electrónica,Norte,Marketplace,58,18084.07,12451.67,5632.4
2023-04-26,Alimentos,Sur,E-commerce,52,1064.03,717.42,346.61
2023-04-26,Hogar,Sur,Distribuidor,27,2639.51,1869.79,769.72
2023-04-27,Juguetes,Centro,E-commerce,43,1681.85,1208.31,473.54
2023-04-27,Alimentos,Sur,Distribuidor,9,157.01,96.72,60.29
2023-04-28,Alimentos,Este,Distribuidor,22,412.79,243.81,168.98
2023-04-28,Deportes,Sur,Marketplace,44,3013.89,2115.15,898.74
2023-04-28,Moda,Norte,E-commerce,53,3531.1,2476.59,1054.51
2023-04-28,Electrónica,Oeste,Tienda física,14,4505.92,2558.36,1947.56
2023-04-28,Electrónica,Centro,Distribuidor,24,8153.03,4926.15,3226.88
2023-04-29,Moda,Norte,Marketplace,17,971.24,682.42,288.82
2023-04-29,Electrónica,Centro,Distribuidor,17,5223.91,3071.69,2152.22
2023-04-29,Electrónica,Este,Distribuidor,20,6406.26,3540.01,2866.25
2023-04-30,Hogar,Este,Distribuidor,9,695.76,397.84,297.92
2023-04-30,Electrónica,Norte,Marketplace,18,6265.27,3847.94,2417.33
2023-04-30,Moda,Norte,E-commerce,47,2614.31,1633.32,980.99
2023-04-30,Deportes,Centro,Distribuidor,40,2728.86,1855.36,873.5
2023-04-30,Hogar,Oeste,Tienda física,29,2378.46,1442.23,936.23
2023-05-01,Hogar,Este,Marketplace,19,1799.74,1244.89,554.85
2023-05-01,Deportes,Norte,Marketplace,31,2207.98,1363.56,844.42
2023-05-01,Juguetes,Este,E-commerce,48,1785.83,1257.16,528.67
2023-05-01,Electrónica,Este,Tienda física,40,14490.24,9993.33,4496.91
2023-05-02,Electrónica,Sur,Distribuidor,45,12641.69,7062.27,5579.42
2023-05-02,Moda,Oeste,Tienda física,21,1398.56,825.38,573.18
2023-05-03,Hogar,Este,Distribuidor,12,961.28,670.37,290.91
2023-05-03,Juguetes,Este,Marketplace,41,1517.48,1018.4,499.08
2023-05-03,Hogar,Este,Distribuidor,47,3956.69,2599.99,1356.7
2023-05-05,Electrónica,Oeste,Marketplace,56,18974.94,13719.32,5255.62
2023-05-05,Juguetes,Centro,Marketplace,7,226.55,126.95,99.6
2023-05-05,Hogar,Norte,E-commerce,24,2442.34,1496.02,946.32
2023-05-05,Deportes,Norte,E-commerce,11,742.14,512.43,229.71
2023-05-06,Hogar,Norte,Tienda física,46,4491.88,3220.83,1271.05
2023-05-06,Alimentos,Centro,Distribuidor,29,580.96,391.65,189.31
2023-05-07,Electrónica,Este,E-commerce,48,16053.77,8972.43,7081.34
2023-05-07,Deportes,Sur,Tienda física,9,592.22,417.64,174.58
2023-05-08,Juguetes,Oeste,E-commerce,23,811.48,469.27,342.21
2023-05-08,Electrónica,Este,E-commerce,37,12864.11,8012.01,4852.1
2023-05-08,Electrónica,Centro,Distribuidor,52,17237.64,10224.73,7012.91
2023-05-09,Juguetes,Norte,E-commerce,26,839.4,535.73,303.67
2023-05-09,Moda,Oeste,Tienda física,11,705.51,474.05,231.46
2023-05-09,Moda,Norte,Tienda física,21,1092.01,664.46,427.55
2023-05-09,Moda,Norte,Marketplace,56,2859.03,1687.08,1171.95
2023-05-10,Electrónica,Norte,Distribuidor,50,13613.05,8819.2,4793.85
2023-05-11,Hogar,Sur,E-commerce,17,1466.95,836.07,630.88
2023-05-11,Deportes,Sur,Tienda física,58,4193.62,2415.8,1777.82
2023-05-11,Electrónica,Norte,Tienda física,42,13450.87,9522.93,3927.94
2023-05-12,Juguetes,Este,Marketplace,35,1140.27,698.78,441.49
2023-05-12,Juguetes,Centro,E-commerce,49,1725.04,1032.23,692.81
2023-05-13,Moda,Norte,Marketplace,35,2236.35,1523.12,713.23
2023-05-13,Moda,Oeste,Tienda física,15,911.34,589.18,322.16
2023-05-13,Hogar,Este,Marketplace,40,3331.75,2213.79,1117.96
2023-05-14,Electrónica,Norte,Distribuidor,47,15661.19,9345.07,6316.12
2023-05-14,Deportes,Sur,Tienda física,34,2457.43,1491.92,965.51
2023-05-15,Hogar,Norte,Marketplace,39,3149.41,2143.54,1005.87
2023-05-15,Moda,Norte,E-commerce,52,3531.12,1946.72,1584.4
2023-05-15,Juguetes,Este,Tienda física,28,1081.08,674.3,406.78
2023-05-15,Hogar,Centro,Marketplace,7,636.73,441.45,195.28
2023-05-16,Alimentos,Sur,Tienda física,56,976.45,572.71,403.74
2023-05-16,Hogar,Norte,Distribuidor,47,3672.87,2203.84,1469.03
2023-05-16,Electrónica,Norte,E-commerce,21,6433.38,4007.91,2425.47
2023-05-16,Alimentos,Norte,E-commerce,12,222.12,158.6,63.52
2023-05-17,Electrónica,Norte,E-commerce,51,16637.08,9401.5,7235.58
2023-05-18,Electrónica,Oeste,E-commerce,24,8289.63,5753.86,2535.77
2023-05-18,Juguetes,Centro,E-commerce,40,1272.86,754.33,518.53
2023-05-18,Electrónica,Este,Marketplace,17,4776.41,3420.81,1355.6
2023-05-19,Moda,Sur,E-commerce,7,385.47,251.21,134.26
2023-05-20,Electrónica,Sur,Marketplace,43,15129.9,9196.91,5932.99
2023-05-21,Moda,Oeste,E-commerce,16,1006.43,586.28,420.15
2023-05-21,Deportes,Centro,E-commerce,54,4507.12,2505.21,2001.91
2023-05-22,Deportes,Este,Tienda física,58,4202.78,2679.92,1522.86
2023-05-22,Deportes,Centro,Marketplace,20,1295.03,750.41,544.62
2023-05-22,Alimentos,Oeste,Tienda física,50,783.25,557.72,225.53
2023-05-23,Juguetes,Sur,Distribuidor,45,1397.88,800.2,597.68
2023-05-23,Electrónica,Centro,E-commerce,43,12500.79,8184.43,4316.36
2023-05-24,Deportes,Norte,Tienda física,35,2540.07,1726.35,813.72
2023-05-24,Moda,Este,Tienda física,9,464.18,285.62,178.56
2023-05-25,Alimentos,Norte,E-commerce,50,943.85,565.68,378.17
2023-05-25,Alimentos,Norte,Marketplace,20,381.56,258.85,122.71
2023-05-25,Electrónica,Norte,E-commerce,16,4958.4,2894.33,2064.07
2023-05-25,Alimentos,Centro,Distribuidor,24,427.79,294.49,133.3
2023-05-25,Electrónica,Sur,Marketplace,19,6602.66,4816.72,1785.94
